FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
45031,Darlington County,SC,19.6,51956.0
17031,Cook County,IL,20.0,4036995.0
48181,Grayson County,TX,0.0,103979.0
48161,Freestone County,TX,0.0,15245.0
45061,Lee County,SC,16.6,13501.0
39065,Hardin County,OH,15.8,24089.0
31167,Stanton County,NE,10.3,4477.0
30047,Lake County,MT,33.3,23376.0
29043,Christian County,MO,16.1,66365.0
47057,Grainger County,TN,18.2,18657.0
21153,Magoffin County,KY,24.2,9451.0
01047,Dallas County,AL,16.2,28521.0
36047,Kings County,NY,16.3,1979232.0
20205,Wilson County,KS,19.7,6480.0
51137,Orange County,VA,2.1,29281.0
48263,Kent County,TX,0.0,597.0
31075,Grant County,NE,0.0,469.0
48005,Angelina County,TX,0.0,64658.0
11001,District of Columbia,DC,16.7,577581.0
29053,Cooper County,MO,20.7,13892.0
13097,Douglas County,GA,6.6,108767.0
13101,Echols County,GA,3.5,2963.0
08023,Costilla County,CO,8.6,3146.0
39071,Highland County,OH,13.1,32974.0
34033,Salem County,NJ,19.6,49051.0
18107,Montgomery County,IN,19.0,29643.0
47151,Scott County,TN,16.2,16747.0
51121,Montgomery County,VA,9.8,83465.0
08021,Conejos County,CO,1.6,6141.0
28147,Walthall County,MS,15.6,11076.0
34031,Passaic County,NJ,17.4,382808.0
28103,Noxubee County,MS,23.7,7862.0
21133,Letcher County,KY,29.3,16877.0
21137,Lincoln County,KY,15.1,18735.0
40133,Seminole County,OK,25.5,18311.0
20035,Cowley County,KS,20.2,26742.0
55025,Dane County,WI,29.2,436427.0
55041,Forest County,WI,33.8,7230.0
05049,Fulton County,AR,12.3,9843.0
21113,Jessamine County,KY,22.6,41273.0
33011,Hillsborough County,NH,0.9,332922.0
26059,Hillsdale County,MI,18.2,35791.0
17121,Marion County,IL,18.0,28576.0
19117,Lucas County,IA,20.4,6640.0
22125,West Feliciana Parish,LA,34.8,13012.0
13255,Spalding County,GA,2.8,51061.0
